decile,n_applicants,n_defaults,observed_default_rate,lift,cumulative_applicants,cumulative_defaults,cumulative_capture_rate
1,9225,1638,0.17756097560975678,2.1916688095968504,9225,1638,0.21915975381321917
2,9225,1176,0.12747967479674746,1.5735058120182395,18450,2814,0.3765052180893765
3,9225,938,0.10168021680216803,1.2550582072050294,27675,3752,0.502006957452502
4,9226,790,0.08562757424669429,1.0569173945651957,36901,4542,0.6077067166176077
5,9225,690,0.07479674796747994,0.923230450929076,46126,5232,0.7000267594327
6,9225,622,0.06742547425474239,0.8322454209824376,55351,5854,0.7832485951297833
7,9226,520,0.05636245393453298,0.6956924622454457,64577,6374,0.8528231201498528
8,9225,448,0.048563685636856285,0.5994307855307592,73802,6822,0.9127642493979128
9,9225,353,0.03826558265582644,0.472319346634727,83027,7175,0.95999464811346
10,9226,299,0.03240841101235609,0.4000231657911267,92253,7474,1
